2021-07-18 11:58:55,418: Key.ctrl_l
2021-07-18 11:58:55,643: '\x03'
2021-07-18 11:58:58,258: Key.ctrl_l
2021-07-18 11:58:59,154: Key.ctrl_l
2021-07-18 11:58:59,427: '\x03'
2021-07-18 11:59:06,179: Key.ctrl_l
2021-07-18 11:59:06,347: Key.alt_l
2021-07-18 11:59:06,507: Key.delete
2021-07-18 12:04:37,331: Key.ctrl_l
2021-07-18 12:04:37,779: '\x14'
2021-07-18 12:04:38,747: 'r'
2021-07-18 12:04:38,906: 'u'
2021-07-18 12:04:39,106: 'n'
2021-07-18 12:04:39,267: 'n'
2021-07-18 12:04:40,307: 'i'
2021-07-18 12:04:40,571: 'n'
2021-07-18 12:04:40,763: 'g'
2021-07-18 12:04:40,938: Key.space
2021-07-18 12:04:41,251: 'p'
2021-07-18 12:04:41,731: 'y'
2021-07-18 12:04:41,939: 'w'
2021-07-18 12:04:42,171: Key.space
2021-07-18 12:04:42,859: 'o'
2021-07-18 12:04:43,050: 'n'
2021-07-18 12:04:43,227: Key.space
2021-07-18 12:04:43,403: 'w'
2021-07-18 12:04:43,507: 'i'
2021-07-18 12:04:43,675: 'n'
2021-07-18 12:04:43,786: 'd'
2021-07-18 12:04:43,923: 'o'
2021-07-18 12:04:44,034: 'w'
2021-07-18 12:04:44,219: 's'
2021-07-18 12:04:44,354: Key.enter
2021-07-18 12:22:47,403: Key.ctrl_l
2021-07-18 12:22:47,571: '\x14'
2021-07-18 12:22:48,019: 'y'
2021-07-18 12:22:48,147: 'o'
2021-07-18 12:22:48,355: 'u'
2021-07-18 12:22:48,515: 't'
2021-07-18 12:22:48,611: 'u'
2021-07-18 12:22:48,788: 'b'
2021-07-18 12:22:48,931: 'e'
2021-07-18 12:22:49,035: '.'
2021-07-18 12:22:49,147: 'c'
2021-07-18 12:22:49,251: 'o'
2021-07-18 12:22:49,427: 'm'
2021-07-18 12:22:49,691: Key.enter
2021-07-18 12:22:52,883: 'p'
2021-07-18 12:22:53,211: 'y'
2021-07-18 12:22:53,419: 't'
2021-07-18 12:22:53,587: 'h'
2021-07-18 12:22:53,811: 'o'
2021-07-18 12:22:53,995: 'n'
2021-07-18 12:22:54,171: Key.space
2021-07-18 12:22:54,371: 'k'
2021-07-18 12:22:54,500: 'e'
2021-07-18 12:22:54,619: 'y'
2021-07-18 12:22:54,899: 'l'
2021-07-18 12:22:55,075: 'o'
2021-07-18 12:22:55,275: 'g'
2021-07-18 12:22:55,443: 'g'
2021-07-18 12:22:55,531: 'e'
2021-07-18 12:22:55,715: 'r'
2021-07-18 12:22:55,826: Key.enter
2021-07-18 12:23:10,939: Key.alt_l
2021-07-18 12:23:11,154: Key.tab
2021-07-18 12:23:23,907: Key.backspace
2021-07-18 12:23:24,635: Key.backspace
2021-07-18 12:23:24,979: 'i'
2021-07-18 12:23:25,179: 'n'
2021-07-18 12:23:25,315: 'g'
2021-07-18 12:23:25,491: Key.enter
2021-07-18 12:23:37,411: 'p'
2021-07-18 12:23:37,763: 'y'
2021-07-18 12:23:37,955: 'w'
2021-07-18 12:23:38,123: Key.enter
2021-07-18 12:23:54,067: Key.right
2021-07-18 12:23:54,282: Key.right
2021-07-18 12:23:54,499: Key.right
2021-07-18 12:23:55,115: Key.right
2021-07-18 12:23:55,306: Key.right
2021-07-18 12:23:55,755: Key.right
2021-07-18 12:23:56,059: Key.right
2021-07-18 12:23:56,963: Key.right
2021-07-18 12:23:57,379: Key.right
2021-07-18 12:23:57,635: Key.right
2021-07-18 12:23:58,563: Key.right
2021-07-18 12:23:58,915: Key.right
2021-07-18 12:23:59,163: Key.right
2021-07-18 12:23:59,499: Key.right
2021-07-18 12:24:00,026: Key.right
2021-07-18 12:24:00,387: Key.right
2021-07-18 12:24:01,115: Key.right
2021-07-18 12:24:02,963: Key.right
2021-07-18 12:24:03,651: Key.right
2021-07-18 12:24:05,163: Key.right
2021-07-18 12:24:05,827: Key.right
2021-07-18 12:24:06,259: Key.right
2021-07-18 12:24:06,827: Key.right
2021-07-18 12:24:07,211: Key.right
2021-07-18 12:24:07,651: Key.right
2021-07-18 12:24:08,115: Key.right
2021-07-18 12:24:08,522: Key.right
2021-07-18 12:24:08,954: Key.right
2021-07-18 12:24:09,507: Key.right
2021-07-18 12:24:10,011: Key.right
2021-07-18 12:24:10,819: Key.right
2021-07-18 12:24:11,395: Key.right
2021-07-18 12:24:12,307: Key.right
2021-07-18 12:24:29,643: Key.ctrl_l
2021-07-18 12:24:29,963: '\x13'
2021-07-18 12:24:31,130: Key.ctrl_l
2021-07-18 12:24:31,364: '\x03'
2021-07-18 12:24:32,275: Key.esc
2021-07-18 12:24:48,547: 'a'
2021-07-18 12:24:48,739: 's'
2021-07-18 12:24:49,499: 'a'
2021-07-18 12:24:50,547: Key.backspace
2021-07-18 12:24:50,739: Key.backspace
2021-07-18 12:24:50,915: Key.backspace
2021-07-18 12:24:51,083: Key.backspace
2021-07-18 12:24:53,043: 'd'
2021-07-18 12:24:53,219: 'a'
2021-07-18 12:24:53,307: 's'
2021-07-18 12:24:53,451: 'd'
2021-07-18 12:25:00,043: 'i'
2021-07-18 12:25:00,251: 'n'
2021-07-18 12:25:00,427: 's'
2021-07-18 12:25:00,563: 't'
2021-07-18 12:25:00,771: 'a'
2021-07-18 12:25:00,915: 'l'
2021-07-18 12:25:01,083: 'l'
2021-07-18 12:25:02,443: Key.backspace
2021-07-18 12:25:02,659: Key.backspace
2021-07-18 12:25:02,827: Key.backspace
2021-07-18 12:25:02,987: Key.backspace
2021-07-18 12:25:03,171: Key.backspace
2021-07-18 12:25:03,339: Key.backspace
